DP,hd_dim,inner_dim,reram_size,freq_MHz,Path1_status,Path2_status,accuracy,energy_uj,timing_us,area_mm2,asic_area_mm2,rram_area_mm2,p2_area_um2,p2_clock_period_ns,p2_timing_slack_ns,p2_dynamic_power_mw,p2_leakage_power_mw,error_reason
1,2048,512,128,200,OK,success,nan,66.883,185.960,427.8199,0.5915,427.2284,217271.61,5.0,1.13,170.939,0.0184221,
2,2048,1024,128,200,OK,success,nan,66.883,185.960,427.8199,0.5915,427.2284,317838.32,5.0,1.12,183.1491,0.0257226,
3,2048,2048,128,200,OK,success,nan,66.883,185.960,427.8199,0.5915,427.2284,217271.61,5.0,1.13,170.939,0.0184221,
4,2048,4096,128,200,OK,success,nan,66.883,185.960,427.8199,0.5915,427.2284,217271.61,5.0,1.13,170.939,0.0184221,
5,2048,8192,128,200,OK,success,nan,66.883,185.960,427.8199,0.5915,427.2284,217271.61,5.0,1.13,170.939,0.0184221,
6,4096,512,128,200,OK,success,nan,116.946,226.920,427.8199,0.5915,427.2284,290725.28,5.0,1.03,137.335,0.0223048,
7,4096,1024,128,200,OK,success,nan,117.016,226.920,427.8199,0.5915,427.2284,393087.38,5.0,1.03,27.1397,0.030079,
8,4096,2048,128,200,OK,success,nan,116.946,226.920,427.8199,0.5915,427.2284,290725.28,5.0,1.03,137.335,0.0223048,
9,4096,4096,128,200,OK,success,nan,116.946,226.920,427.8199,0.5915,427.2284,290725.28,5.0,1.03,137.335,0.0223048,
10,4096,8192,128,200,OK,success,nan,116.946,226.920,427.8199,0.5915,427.2284,290725.28,5.0,1.03,137.335,0.0223048,
11,8192,512,128,200,OK,failed,nan,224.096,431.720,427.8199,0.5915,427.2284,,,,,,hd_dim (8192) > HAMMING_DIST_WIDTH=13 max 8191
12,8192,1024,128,200,OK,failed,nan,224.097,431.720,427.8199,0.5915,427.2284,,,,,,hd_dim (8192) > HAMMING_DIST_WIDTH=13 max 8191
13,8192,2048,128,200,OK,failed,nan,224.096,431.720,427.8199,0.5915,427.2284,,,,,,hd_dim (8192) > HAMMING_DIST_WIDTH=13 max 8191
14,8192,4096,128,200,OK,failed,nan,224.097,431.720,427.8199,0.5915,427.2284,,,,,,hd_dim (8192) > HAMMING_DIST_WIDTH=13 max 8191
15,8192,8192,128,200,OK,failed,nan,224.096,431.720,427.8199,0.5915,427.2284,,,,,,hd_dim (8192) > HAMMING_DIST_WIDTH=13 max 8191
